2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:41 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:41 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:42 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:43 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:44 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:44 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:45 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:45 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:46 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:47 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:48 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:48 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:49 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:50 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:50 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:51 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:52 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:53 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:55 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:56 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:57 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:58 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:58 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:60 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:61 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:61 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:63 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:22 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:64 networkType:TcpListen connect type:None value:0[0m
